hh:mm:ss.mmm	Fp1	Fp2	F3	F4	F7	F8	T3	T4	C3	C4	P3	P4	O1	O2	Fz	Cz	Pz	T5	T6	A1	A2
0:0:0.000	5.274884	4.123456	3.987654	2.345678	1.234567	0.987654	-1.234567	-2.345678	-3.456789	-4.567890	-5.678901	-6.789012	-7.890123	-8.901234	-9.012345	-10.123456	-11.234567	-12.345678	-13.456789	-14.567890	-15.678901
0:0:0.002	8.567340	7.234567	6.543210	5.456789	4.345678	3.234567	2.123456	1.012345	0.901234	-0.210987	-1.321098	-2.432109	-3.543210	-4.654321	-5.765432	-6.876543	-7.987654	-9.098765	-10.209876	-11.320987	-12.432098
0:0:0.004	11.276846	10.345678	9.876543	8.765432	7.654321	6.543210	5.432109	4.321098	3.210987	2.109876	1.098765	0.987654	-0.123456	-1.234567	-2.345678	-3.456789	-4.567890	-5.678901	-6.789012	-7.890123	-8.901234
0:0:0.006	12.742086	11.456789	10.234567	9.123456	8.012345	6.901234	5.790123	4.679012	3.567901	2.456790	1.345679	0.234568	-0.876543	-1.987654	-3.098765	-4.209876	-5.320987	-6.432098	-7.543209	-8.654320	-9.765431
0:0:0.008	12.683146	11.567890	10.345678	9.234567	8.123456	7.012345	5.901234	4.790123	3.679012	2.567901	1.456790	0.345679	-0.765432	-1.876543	-2.987654	-4.098765	-5.209876	-6.320987	-7.432098	-8.543209	-9.654320
0:0:0.010	11.369996	10.678901	9.456789	8.345678	7.234567	6.123456	5.012345	3.901234	2.790123	1.679012	0.567901	-0.543210	-1.654321	-2.765432	-3.876543	-4.987654	-6.098765	-7.209876	-8.320987	-9.432098	-10.543209
0:0:0.012	9.496191	8.789012	7.567890	6.456789	5.345678	4.234567	3.123456	2.012345	0.901234	-0.209876	-1.320987	-2.432098	-3.543209	-4.654320	-5.765431	-6.876542	-7.987653	-9.098764	-10.209875	-11.320986	-12.432097
0:0:0.014	7.827131	6.890123	5.678901	4.567890	3.456789	2.345678	1.234567	0.123456	-0.987654	-2.098765	-3.209876	-4.320987	-5.432098	-6.543209	-7.654320	-8.765431	-9.876542	-10.987653	-12.098764	-13.209875	-14.320986
0:0:0.016	6.894584	5.901234	4.789012	3.678901	2.567890	1.456789	0.345678	-0.765432	-1.876543	-2.987654	-4.098765	-5.209876	-6.320987	-7.432098	-8.543209	-9.654320	-10.765431	-11.876542	-12.987653	-14.098764	-15.209875
0:0:0.018	6.834011	5.912345	4.890123	3.789012	2.678901	1.567890	0.456789	-0.654321	-1.765432	-2.876543	-3.987654	-5.098765	-6.209876	-7.320987	-8.432098	-9.543209	-10.654320	-11.765431	-12.876542	-13.987653	-15.098764
