hh:mm:ss.mmm	Fp2	Fp1	F3
0:0:0.000	5.274884	4.123456	3.987654
0:0:0.002	8.567340	7.234567	6.543210
0:0:0.004	11.276846	10.345678	9.876543
0:0:0.006	12.742086	11.456789	10.234567
0:0:0.008	12.683146	11.567890	10.345678
0:0:0.010	11.369996	10.678901	9.456789
0:0:0.012	9.496191	8.789012	7.567890
0:0:0.014	7.827131	6.890123	5.678901
0:0:0.016	6.894584	5.901234	4.789012
0:0:0.018	6.834011	5.912345	4.890123
0:0:0.020	7.430480	6.523456	5.401234
0:0:0.022	8.295026	7.134567	6.012345
0:0:0.024	9.054762	7.745678	6.623456
0:0:0.026	9.483670	8.356789	7.234567
0:0:0.028	9.509470	8.467890	7.345678
0:0:0.030	9.190855	8.178901	7.056789
0:0:0.032	8.716151	7.689012	6.567890
0:0:0.034	8.338544	7.290123	6.178901
0:0:0.036	8.350967	7.301234	6.189012
0:0:0.038	8.997742	7.948567	6.836345
0:0:0.040	10.346887	9.297654	8.185432
0:0:0.042	12.223407	11.174321	10.062198
0:0:0.044	14.231820	13.182654	12.070987
0:0:0.046	15.874894	14.825678	13.714321
0:0:0.048	16.667704	15.618543	14.507210
0:0:0.050	16.890123	15.841234	14.729876
0:0:0.052	16.345678	15.296789	14.185432
0:0:0.054	15.234567	14.185678	13.074321
0:0:0.056	13.789012	12.740123	11.628765
0:0:0.058	12.123456	11.074567	9.963210
0:0:0.060	10.456789	9.407890	8.296543
0:0:0.062	9.012345	7.963456	6.852109
0:0:0.064	7.890123	6.841234	5.729876
0:0:0.066	7.123456	6.074567	4.963210
0:0:0.068	6.789012	5.740123	4.628765
0:0:0.070	6.890123	5.841234	4.729876
0:0:0.072	7.345678	6.296789	5.185432
0:0:0.074	8.012345	6.963456	5.852109
0:0:0.076	8.890123	7.841234	6.729876
0:0:0.078	9.789012	8.740123	7.628765
0:0:0.080	10.567340	9.518456	8.407123
0:0:0.082	11.123456	10.074567	8.963210
0:0:0.084	11.456789	10.407890	9.296543
0:0:0.086	11.567890	10.518901	9.407654
0:0:0.088	11.456789	10.407890	9.296543
0:0:0.090	11.123456	10.074567	8.963210
0:0:0.092	10.567340	9.518456	8.407123
0:0:0.094	9.789012	8.740123	7.628765
0:0:0.096	8.890123	7.841234	6.729876
0:0:0.098	8.012345	6.963456	5.852109
0:0:0.100	7.345678	6.296789	5.185432
